Designator,Mid X,Mid Y,Rotation,Layer
D1,101.75875,-69.05625,90.0,bottom
D10,158.90875,-88.15625,90.0,bottom
D11,177.95875,-88.15625,90.0,bottom
D12,197.00875,-88.15625,90.0,bottom
D13,101.80875,-107.15625,90.0,bottom
D14,120.80875,-107.15625,90.0,bottom
D15,139.90875,-107.15625,90.0,bottom
D16,158.90875,-107.15625,90.0,bottom
D17,178.00875,-107.15625,90.0,bottom
D18,197.00875,-107.15625,90.0,bottom
D19,104.20875,-126.15625,90.0,bottom
D2,120.80875,-69.05625,90.0,bottom
D20,128.00875,-126.15625,90.0,bottom
D21,151.765,-126.15625,90.0,bottom
D22,185.10875,-126.15625,90.0,bottom
D3,139.90875,-69.05625,90.0,bottom
D4,158.90875,-69.06625,90.0,bottom
D5,177.95875,-69.05625,90.0,bottom
D6,197.00875,-69.06625,90.0,bottom
D7,101.75875,-88.15625,90.0,bottom
D8,120.80875,-88.15625,90.0,bottom
D9,139.90875,-88.15625,90.0,bottom
JST1,217.25,-94.5,270.0,top
S1,92.23375,-63.8175,0.0,top
S10,149.38375,-82.8675,0.0,top
S11,168.43375,-82.8675,0.0,top
S12,187.48375,-82.8675,0.0,top
S13,92.23375,-101.9175,0.0,top
S14,111.28375,-101.9175,0.0,top
S15,130.33375,-101.9175,0.0,top
S16,149.38375,-101.9175,0.0,top
S17,168.43375,-101.9175,0.0,top
S18,187.48375,-101.9175,0.0,top
S19,94.615,-120.9675,0.0,top
S2,111.28375,-63.8175,0.0,top
S20,118.4275,-120.9675,0.0,top
S21,142.24,-120.9675,0.0,top
S22,175.5775,-120.9675,0.0,top
S23,92.23375,-63.8175,0.0,bottom
S24,111.28375,-63.8175,0.0,bottom
S25,130.33375,-63.8175,0.0,bottom
S26,149.38375,-63.8175,0.0,bottom
S27,168.43375,-63.8175,0.0,bottom
S28,187.48375,-63.8175,0.0,bottom
S29,92.23375,-82.8675,0.0,bottom
S3,130.33375,-63.8175,0.0,top
S30,111.28375,-82.8675,0.0,bottom
S31,130.33375,-82.8675,0.0,bottom
S32,149.38375,-82.8675,0.0,bottom
S33,168.43375,-82.8675,0.0,bottom
S34,187.48375,-82.8675,0.0,bottom
S35,92.23375,-101.9175,0.0,bottom
S36,111.28375,-101.9175,0.0,bottom
S37,130.33375,-101.9175,0.0,bottom
S38,149.38375,-101.9175,0.0,bottom
S39,168.43375,-101.9175,0.0,bottom
S4,149.38375,-63.8175,0.0,top
S40,187.48375,-101.9175,0.0,bottom
S41,94.615,-120.9675,0.0,bottom
S42,118.4275,-120.9675,0.0,bottom
S43,142.24,-120.9675,0.0,bottom
S44,175.5775,-120.9675,0.0,bottom
S5,168.43375,-63.8175,0.0,top
S6,187.48375,-63.8175,0.0,top
S7,92.23375,-82.8675,0.0,top
S8,111.28375,-82.8675,0.0,top
S9,130.33375,-82.8675,0.0,top
SW1,218.925,-106.6,90.0,top
SW2,219.00875,-122.0925,270.0,top
SW3,218.925,-106.6,270.0,bottom
SW4,219.00875,-122.0925,90.0,bottom
U1,210.6,-72.0725,0.0,top
